Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
"Chicken wing, baked, coated","Chicken, whole pieces",259,21.4,3.93,0.07,0.2,16.85,4.649,7.59,3.997,125,0.099,0.161,5.83,0.491,7,99.3,0.0,0.2,0.84,0.0,21,136,18,0.99,1.48,0.045,192,417,0,0,0.0,56.97
"Chicken ""wings"" with hot sauce, from fast food / restaurant","Chicken, whole pieces",271,16.78,6.18,2.23,0.1,20.14,6.569,8.085,3.023,101,0.065,0.156,5.22,0.249,6,53.0,0.2,0.2,0.99,0.0,39,179,18,0.79,1.1,0.055,213,847,0,0,0.0,54.72
"Chicken ""wings"" with other sauces or seasoning, from fast food / restaurant","Chicken, whole pieces",276,16.95,13.13,7.55,0.2,17.39,4.146,7.621,3.303,92,0.068,0.162,5.371,0.169,6,53.6,0.1,0.0,0.84,0.0,44,182,20,0.88,1.13,0.066,257,761,0,0,0.0,50.53
"Chicken ""wings"", plain, from fast food / restaurant","Chicken, whole pieces",322,17.74,14.93,0.1,0.3,21.24,4.998,9.918,4.827,93,0.138,0.235,5.601,0.16,25,68.5,0.0,0.1,1.2,0.0,61,187,21,1.23,1.13,0.077,219,844,0,0,0.0,43.23
"Chicken ""wings"" with hot sauce, from precooked","Chicken, whole pieces",252,17.57,2.5,2.44,0.0,19.43,6.315,7.243,2.613,106,0.06,0.127,5.569,0.255,0,44.6,0.2,0.1,0.78,0.0,27,190,18,0.75,1.18,0.047,221,747,0,0,0.0,59.13
"Chicken ""wings"" with other sauces or seasoning, from precooked","Chicken, whole pieces",257,17.74,9.42,7.76,0.2,16.67,3.89,6.773,2.891,97,0.064,0.133,5.722,0.176,0,45.2,0.1,0.0,0.62,0.0,32,193,20,0.84,1.22,0.059,265,660,0,0,0.0,54.96
"Chicken ""wings"", plain, from precooked","Chicken, whole pieces",292,18.58,7.07,0.12,0.3,20.55,4.794,9.029,5.981,107,0.124,0.161,5.198,0.416,13,85.4,0.0,0.2,1.45,0.0,22,122,17,1.09,1.29,0.047,168,461,0,0,0.0,52.76
"Chicken ""wings"" with hot sauce, from other sources","Chicken, whole pieces",265,17.02,5.08,2.3,0.1,19.93,6.493,7.832,2.9,103,0.064,0.147,5.325,0.251,4,50.5,0.2,0.1,0.93,0.0,36,182,18,0.78,1.12,0.053,215,817,0,0,0.0,56.05
"Chicken ""wings"" with other sauces or seasoning, from other sources","Chicken, whole pieces",270,17.19,12.01,7.62,0.2,17.17,4.069,7.367,3.179,93,0.067,0.153,5.476,0.171,4,51.1,0.1,0.0,0.77,0.0,40,185,20,0.87,1.16,0.064,259,731,0,0,0.0,51.86
"Chicken ""wings"", plain, from other sources","Chicken, whole pieces",313,17.99,12.57,0.11,0.3,21.03,4.937,9.651,5.173,97,0.134,0.213,5.48,0.237,21,73.6,0.0,0.1,1.27,0.0,49,167,20,1.18,1.18,0.068,204,729,0,0,0.0,46.09
"Chicken ""wings"", boneless, with hot sauce, from fast food / restaurant","Chicken, whole pieces",281,12.35,20.01,5.71,0.9,16.85,3.399,6.24,5.141,45,0.094,0.177,4.722,0.149,7,32.9,0.6,0.2,1.15,0.0,17,211,21,0.87,0.5,0.056,232,879,0,0,0.0,47.89
"Chicken ""wings"", boneless, with hot sauce, from other sources","Chicken, whole pieces",231,11.38,19.95,6.08,1.5,11.79,2.557,3.516,4.935,30,0.124,0.072,4.671,0.291,9,37.0,0.5,0.1,1.97,0.0,38,157,25,0.87,0.51,0.081,254,829,0,0,0.0,54.08
"Chicken, back","Chicken, whole pieces",298,25.73,0.0,0.0,0.0,20.8,5.772,8.221,4.582,87,0.06,0.193,6.662,0.268,0,61.8,0.0,0.1,0.27,0.0,21,153,20,1.41,2.23,0.075,208,409,0,0,0.0,53.08
"Chicken, neck or ribs","Chicken, whole pieces",245,19.45,0.0,0.0,0.0,17.95,4.958,7.16,3.907,69,0.04,0.246,3.291,0.099,0,48.9,0.0,0.1,0.27,0.0,27,121,13,2.28,2.7,0.096,107,374,0,0,0.0,61.22
"Chicken, tail","Chicken, whole pieces",454,20.36,0.0,0.0,0.0,40.68,11.42,17.03,8.57,83,0.036,0.127,5.581,0.1,0,45.7,0.0,0.2,0.4,0.0,14,125,15,1.51,1.23,0.064,136,65,0,0,0.0,40.29
Chicken skin,"Chicken, whole pieces",450,20.19,0.0,0.0,0.0,40.34,11.325,16.888,8.499,82,0.036,0.126,5.535,0.099,0,45.3,0.0,0.2,0.4,0.0,14,124,15,1.5,1.22,0.063,135,387,0,0,0.0,39.96
Chicken feet,"Chicken, whole pieces",215,19.4,0.2,0.0,0.0,14.6,3.92,5.5,2.98,84,0.06,0.2,0.4,0.01,0,13.3,0.0,0.2,0.27,0.0,88,83,5,0.91,0.69,0.102,31,67,0,0,0.0,65.8
"Chicken, canned, meat only","Chicken, whole pieces",185,25.3,0.9,0.0,0.0,8.1,2.25,3.279,1.978,50,0.0,0.1,2.4,0.19,0,73.8,0.0,0.1,0.32,0.0,14,153,19,1.3,2.5,0.05,153,482,0,0,0.0,64.9
"Chicken, chicken roll, roasted","Chicken, whole pieces",164,26.68,0.0,0.0,0.0,6.33,1.573,2.695,0.933,112,0.07,0.181,7.568,0.246,0,66.1,0.0,0.0,0.41,0.0,15,236,23,0.73,1.6,0.064,278,499,0,0,0.0,65.76
"Chicken patty, breaded","Chicken patties, nuggets and tenders",287,14.85,12.84,0.0,0.3,19.58,3.662,8.337,4.805,43,0.083,0.072,4.764,0.183,0,33.8,0.0,0.3,1.28,0.0,19,208,24,0.95,1.05,0.09,261,532,0,0,0.0,50.82
"Chicken fillet, breaded","Chicken patties, nuggets and tenders",240,14.62,14.86,0.57,1.7,13.58,2.437,4.081,6.235,36,0.132,0.064,5.917,0.338,7,46.2,0.5,0.1,2.22,0.0,39,200,29,0.84,0.61,0.085,281,527,0,0,0.0,54.83
"Chicken fillet, grilled","Chicken patties, nuggets and tenders",150,22.28,2.37,0.0,0.1,5.81,0.909,3.021,1.229,68,0.068,0.104,7.67,0.26,0,47.3,0.0,0.0,0.77,0.0,11,197,21,0.37,0.71,0.038,226,450,0,0,0.0,68.54
"Chicken, ground","Chicken, whole pieces",201,27.14,0.0,0.0,0.0,10.31,2.647,3.429,2.893,92,0.076,0.209,8.651,0.628,0,77.5,0.0,0.2,0.11,0.0,28,252,30,1.51,3.08,0.15,292,400,0,0,0.0,61.56
"Chicken nuggets, NFS","Chicken patties, nuggets and tenders",307,15.92,14.93,0.08,0.9,20.36,3.566,7.735,6.511,55,0.092,0.204,5.985,0.148,5,40.7,0.6,0.2,1.12,0.0,11,272,24,0.83,0.59,0.051,251,594,0,0,0.0,46.53
"Chicken nuggets, from fast food","Chicken patties, nuggets and tenders",307,15.92,14.93,0.08,0.9,20.36,3.566,7.735,6.511,55,0.092,0.204,5.985,0.148,5,40.7,0.6,0.2,1.12,0.0,11,272,24,0.83,0.59,0.051,251,594,0,0,0.0,46.53
"Chicken nuggets, from restaurant","Chicken patties, nuggets and tenders",307,15.92,14.93,0.08,0.9,20.36,3.566,7.735,6.511,55,0.092,0.204,5.985,0.148,5,40.7,0.6,0.2,1.12,0.0,11,272,24,0.83,0.59,0.051,251,594,0,0,0.0,46.53
"Chicken nuggets, from school lunch","Chicken patties, nuggets and tenders",270,15.67,22.86,0.49,2.2,12.9,2.83,3.593,4.189,50,0.092,0.204,5.985,0.309,5,44.9,0.6,0.3,1.23,0.0,32,183,24,1.99,0.71,0.074,231,511,0,0,0.0,46.53
"Chicken nuggets, from frozen","Chicken patties, nuggets and tenders",298,13.36,17.88,0.8,1.8,19.23,3.998,6.138,7.567,36,0.092,0.163,3.639,0.233,0,35.4,0.4,0.3,2.13,0.0,52,183,28,1.06,0.87,0.111,229,600,0,0,0.0,47.07
"Chicken nuggets, from other sources","Chicken patties, nuggets and tenders",304,15.15,15.81,0.3,1.2,20.02,3.696,7.256,6.828,49,0.092,0.192,5.281,0.174,4,39.1,0.5,0.2,1.42,0.0,23,245,25,0.9,0.67,0.069,244,596,0,0,0.0,46.69
"Chicken tenders or strips, NFS","Chicken patties, nuggets and tenders",271,19.22,17.25,0.4,1.2,13.95,2.493,4.83,5.783,48,0.11,0.179,8.217,0.426,6,43.7,1.1,0.2,3.17,0.0,17,282,28,0.73,0.71,0.069,373,769,0,0,0.0,46.64
"Chicken tenders or strips, breaded, from fast food","Chicken patties, nuggets and tenders",271,19.22,17.25,0.4,1.2,13.95,2.493,4.83,5.783,48,0.11,0.179,8.217,0.426,6,43.7,1.1,0.2,3.17,0.0,17,282,28,0.73,0.71,0.069,373,769,0,0,0.0,46.64
"Chicken tenders or strips, breaded, from restaurant","Chicken patties, nuggets and tenders",283,18.82,16.9,0.39,1.2,15.62,3.025,5.606,6.073,49,0.108,0.175,8.048,0.417,6,45.2,1.1,0.3,3.16,0.0,17,276,27,0.72,0.7,0.068,365,791,0,0,0.0,45.68
"Chicken tenders or strips, breaded, from school lunch","Chicken patties, nuggets and tenders",270,15.67,22.86,0.49,2.2,12.9,2.83,3.593,4.189,50,0.092,0.204,5.985,0.309,5,44.9,0.6,0.3,1.23,0.0,32,183,24,1.99,0.71,0.074,231,511,0,0,0.0,46.53
"Chicken tenders or strips, breaded, from frozen","Chicken patties, nuggets and tenders",240,14.62,14.86,0.57,1.7,13.58,2.437,4.081,6.235,36,0.132,0.064,5.917,0.338,7,46.2,0.5,0.1,2.22,0.0,39,200,29,0.84,0.61,0.085,281,527,0,0,0.0,54.83
"Chicken tenders or strips, breaded, from other sources","Chicken patties, nuggets and tenders",262,17.84,16.53,0.45,1.4,13.84,2.476,4.605,5.919,44,0.117,0.144,7.527,0.4,6,44.4,0.9,0.2,2.88,0.0,24,257,28,0.76,0.68,0.074,345,696,0,0,0.0,49.1
"Fried chicken chunks, Puerto Rican style","Chicken, whole pieces",349,20.98,20.6,0.41,0.9,19.78,5.197,8.162,4.427,108,0.208,0.262,5.461,0.329,25,38.7,4.8,0.1,0.47,0.0,15,169,23,1.94,1.62,0.102,234,594,0,0,0.0,36.93
"Turkey, NFS","Turkey, duck, other poultry",139,28.81,0.0,0.0,0.0,2.06,0.588,0.621,0.524,76,0.036,0.204,11.652,0.763,0,78.1,0.0,0.3,0.06,0.0,11,237,31,0.65,1.63,0.062,247,467,0,0,0.0,68.09
"Turkey, light meat, skin not eaten","Turkey, duck, other poultry",139,28.81,0.0,0.0,0.0,2.06,0.588,0.621,0.524,76,0.036,0.204,11.652,0.763,0,78.1,0.0,0.3,0.06,0.0,11,237,31,0.65,1.63,0.062,247,467,0,0,0.0,68.09
"Turkey, light meat, skin eaten","Turkey, duck, other poultry",169,28.28,0.03,0.0,0.0,5.55,1.586,1.963,1.579,84,0.035,0.211,11.42,0.724,0,77.7,0.0,0.4,0.07,0.0,12,236,31,0.73,1.66,0.065,247,468,0,0,0.0,65.03
"Turkey, light meat, breaded, baked or fried, skin not eaten","Turkey, duck, other poultry",173,27.26,6.46,0.56,0.4,3.69,0.976,1.207,1.036,68,0.119,0.221,11.133,0.701,7,72.0,0.0,0.3,0.14,0.0,26,229,32,1.02,1.6,0.079,241,197,0,0,0.0,62.16
"Turkey, light meat, breaded, baked or fried, skin eaten","Turkey, duck, other poultry",200,26.78,6.48,0.56,0.4,6.84,1.879,2.421,1.991,76,0.119,0.227,10.923,0.666,7,71.6,0.0,0.4,0.15,0.0,27,228,32,1.09,1.63,0.082,241,198,0,0,0.0,59.39
"Turkey, light meat, roasted, skin not eaten","Turkey, duck, other poultry",139,28.81,0.0,0.0,0.0,2.06,0.588,0.621,0.524,76,0.036,0.204,11.652,0.763,0,78.1,0.0,0.3,0.06,0.0,11,237,31,0.65,1.63,0.062,247,467,0,0,0.0,68.09
"Turkey, light meat, roasted, skin eaten","Turkey, duck, other poultry",169,28.28,0.03,0.0,0.0,5.55,1.586,1.963,1.579,84,0.035,0.211,11.42,0.724,0,77.7,0.0,0.4,0.07,0.0,12,236,31,0.73,1.66,0.065,247,468,0,0,0.0,65.03
"Turkey, dark meat, roasted, skin not eaten","Turkey, duck, other poultry",167,26.94,0.0,0.0,0.0,5.98,1.792,2.044,1.648,119,0.058,0.358,6.677,0.433,0,93.1,0.0,0.3,0.07,0.0,17,209,26,1.3,3.44,0.126,225,458,0,0,0.0,65.24
"Turkey, dark meat, roasted, skin eaten","Turkey, duck, other poultry",202,26.46,0.05,0.0,0.0,10.16,2.978,3.663,2.921,125,0.055,0.347,6.973,0.421,0,90.7,0.0,0.4,0.08,0.0,17,213,26,1.31,3.26,0.122,227,461,0,0,0.0,61.49
"Turkey, light and dark meat, roasted, skin not eaten","Turkey, duck, other poultry",151,27.99,0.0,0.0,0.0,3.76,1.109,1.238,1.011,94,0.046,0.271,9.495,0.619,0,84.6,0.0,0.3,0.06,0.0,14,225,28,0.93,2.41,0.09,237,464,0,0,0.0,66.86
"Turkey, light and dark meat, roasted, skin eaten","Turkey, duck, other poultry",183,27.48,0.04,0.0,0.0,7.54,2.186,2.694,2.156,102,0.044,0.271,9.447,0.59,0,83.4,0.0,0.4,0.07,0.0,15,226,29,0.99,2.37,0.09,238,465,0,0,0.0,63.51
"Turkey, light or dark meat, fried, coated, skin not eaten","Turkey, duck, other poultry",165,27.22,1.4,0.11,0.0,5.05,1.431,1.774,1.37,94,0.055,0.275,9.198,0.597,2,84.0,0.0,0.3,0.15,0.0,16,221,28,0.99,2.35,0.089,234,274,0,0,0.0,65.42
"Turkey, light or dark meat, fried, coated, skin eaten","Turkey, duck, other poultry",192,26.19,1.4,0.11,0.0,8.5,2.415,3.107,2.418,100,0.052,0.269,8.969,0.557,2,81.2,0.0,0.4,0.16,0.0,17,218,28,1.02,2.26,0.088,230,270,0,0,0.0,62.96
"Turkey, light or dark meat, stewed, skin not eaten","Turkey, duck, other poultry",158,31.18,0.19,0.1,0.0,2.66,0.632,0.657,0.566,92,0.069,0.264,11.156,0.898,0,82.9,0.0,0.3,0.12,0.0,16,262,37,1.18,2.53,0.109,324,610,0,0,0.0,64.92
"Turkey light or dark meat, stewed, skin eaten","Turkey, duck, other poultry",204,30.25,0.14,0.07,0.0,8.52,1.963,3.172,2.56,98,0.037,0.232,6.931,0.462,0,58.5,0.0,0.4,0.13,0.0,13,177,22,0.96,2.18,0.088,174,576,0,0,0.0,60.16
"Turkey, light or dark meat, smoked, skin eaten","Turkey, duck, other poultry",208,28.1,0.0,0.0,0.0,9.7,2.831,3.18,2.473,82,0.06,0.18,5.09,0.41,0,69.9,0.0,0.0,0.34,0.0,26,203,25,1.79,2.96,0.093,280,996,0,0,0.0,61.7
"Turkey, light or dark meat, smoked, skin not eaten","Turkey, duck, other poultry",162,29.3,0.0,0.0,0.0,5.0,1.368,1.046,1.408,76,0.06,0.18,5.44,0.46,0,82.3,0.0,0.1,0.33,0.0,25,213,26,1.78,3.1,0.094,298,996,0,0,0.0,64.9
"Turkey, drumstick, cooked, skin not eaten","Turkey, duck, other poultry",144,28.52,0.0,0.0,0.0,3.38,0.997,1.105,0.906,88,0.042,0.247,9.992,0.675,0,98.6,0.0,0.3,0.06,0.0,12,221,29,0.82,2.27,0.084,240,455,0,0,0.0,66.97
"Turkey, drumstick, cooked, skin eaten","Turkey, duck, other poultry",206,27.64,0.0,0.0,0.0,9.74,3.035,2.846,2.697,84,0.06,0.239,3.531,0.327,0,70.2,0.0,0.1,0.62,0.0,32,197,23,2.28,4.23,0.153,278,399,0,0,0.0,60.68
"Turkey, drumstick, roasted, skin not eaten","Turkey, duck, other poultry",144,28.52,0.0,0.0,0.0,3.38,0.997,1.105,0.906,88,0.042,0.247,9.992,0.675,0,98.6,0.0,0.3,0.06,0.0,12,221,29,0.82,2.27,0.084,240,455,0,0,0.0,66.97
"Turkey, drumstick, roasted, skin eaten","Turkey, duck, other poultry",203,26.86,0.0,0.0,0.0,10.07,3.063,3.189,2.824,93,0.057,0.266,4.655,0.356,0,76.0,0.0,0.2,0.43,0.0,27,202,23,1.87,3.86,0.141,262,442,0,0,0.0,61.18
"Turkey, drumstick, smoked, skin eaten","Turkey, duck, other poultry",200,27.9,0.0,0.0,0.0,9.8,3.054,2.864,2.715,85,0.06,0.24,3.56,0.33,0,70.9,0.0,0.1,0.62,0.0,32,199,23,2.3,4.27,0.154,280,996,0,0,0.0,61.2
"Turkey, thigh, cooked, skin eaten","Turkey, duck, other poultry",182,24.36,0.27,0.0,0.0,9.26,2.831,3.434,2.795,112,0.049,0.304,6.535,0.433,0,93.3,0.0,0.3,0.07,0.0,9,194,22,1.34,3.06,0.1,256,457,0,0,0.0,64.27
"Turkey, thigh, cooked, skin not eaten","Turkey, duck, other poultry",161,26.94,0.0,0.0,0.0,5.98,1.792,2.044,1.648,119,0.058,0.358,6.677,0.433,0,93.1,0.0,0.3,0.07,0.0,17,209,26,1.3,3.44,0.126,225,458,0,0,0.0,65.24
"Turkey, neck","Turkey, duck, other poultry",161,22.29,0.0,0.0,0.0,7.3,2.198,2.506,2.021,127,0.048,0.286,5.831,0.372,0,77.1,0.0,0.3,0.64,0.0,58,180,18,1.17,4.0,0.157,113,566,0,0,0.0,68.9
"Turkey, wing, cooked, skin not eaten","Turkey, duck, other poultry",139,28.81,0.0,0.0,0.0,2.06,0.588,0.621,0.524,76,0.036,0.204,11.652,0.763,0,79.0,0.0,0.3,0.06,0.0,11,237,31,0.65,1.63,0.062,247,467,0,0,0.0,68.09
"Turkey, wing, cooked, skin eaten","Turkey, duck, other poultry",202,26.87,0.0,0.0,0.0,9.97,2.739,3.691,2.441,79,0.045,0.159,7.581,0.498,0,68.6,0.0,0.2,0.13,0.0,21,215,26,1.16,1.88,0.058,258,442,0,0,0.0,61.61
"Turkey, wing, smoked, skin eaten","Turkey, duck, other poultry",221,27.4,0.0,0.0,0.0,12.41,3.383,4.651,2.934,81,0.05,0.13,5.73,0.42,0,68.7,0.0,0.1,0.17,0.0,24,197,25,1.46,2.1,0.056,266,996,0,0,0.0,59.5
"Turkey, tail","Turkey, duck, other poultry",294,22.25,0.0,0.0,0.0,22.8,6.593,9.156,5.845,88,0.029,0.185,9.202,0.516,0,77.0,0.0,1.1,0.46,0.0,13,217,25,0.59,1.31,0.054,217,485,0,0,0.0,53.59
"Turkey, back","Turkey, duck, other poultry",203,25.58,0.0,0.0,0.0,11.26,3.178,4.104,3.262,86,0.034,0.213,10.58,0.593,0,70.2,0.0,0.5,0.09,0.0,15,250,29,0.67,1.51,0.062,250,557,0,0,0.0,61.59
"Turkey, canned","Turkey, duck, other poultry",185,25.3,0.9,0.0,0.0,8.1,2.25,3.279,1.978,50,0.0,0.1,2.4,0.19,0,73.8,0.0,0.1,0.32,0.0,14,153,19,1.3,2.5,0.05,153,482,0,0,0.0,64.9
"Turkey, ground","Turkey, duck, other poultry",201,27.14,0.0,0.0,0.0,10.31,2.647,3.429,2.893,92,0.076,0.209,8.651,0.628,0,77.5,0.0,0.2,0.11,0.0,28,252,30,1.51,3.08,0.15,292,400,0,0,0.0,61.56
"Turkey, nuggets","Turkey, duck, other poultry",236,22.19,17.14,1.48,1.1,8.66,2.257,3.075,2.54,60,0.263,0.282,8.523,0.45,20,59.3,0.0,0.2,0.35,0.0,54,207,30,1.7,1.97,0.124,217,334,0,0,0.0,50.7
"Turkey bacon, cooked",Bacon,368,29.5,4.24,4.24,0.0,25.87,6.933,9.382,6.871,153,0.049,0.398,8.102,0.374,0,87.9,0.0,1.2,0.14,0.0,163,416,30,2.63,4.71,0.118,666,2021,0,0,0.0,34.46
"Turkey bacon, reduced sodium, cooked",Bacon,253,13.33,4.8,0.0,0.0,20.0,6.667,8.571,4.275,100,0.029,0.183,6.222,0.401,0,56.9,24.0,0.2,2.7,0.0,10,145,19,0.72,1.61,0.063,156,900,0,0,0.0,58.93
"Turkey with barbecue sauce, skin eaten",Poultry mixed dishes,195,18.23,12.23,9.97,0.3,8.16,2.286,2.92,2.333,67,0.035,0.192,6.751,0.397,0,55.7,0.2,0.4,0.3,0.0,21,173,23,0.76,1.49,0.079,242,467,0,0,0.0,59.88
"Turkey with barbecue sauce, skin not eaten",Poultry mixed dishes,150,18.86,12.23,9.97,0.3,2.82,0.793,0.893,0.74,59,0.039,0.201,6.927,0.432,0,57.1,0.2,0.2,0.28,0.0,20,170,23,0.73,1.67,0.085,237,464,0,0,0.0,64.54
"Duck, cooked, skin eaten","Turkey, duck, other poultry",336,18.91,0.0,0.0,0.0,28.23,9.63,12.846,3.635,84,0.173,0.268,4.805,0.179,0,50.2,0.0,0.1,0.7,0.0,11,155,16,2.69,1.85,0.226,203,221,0,0,0.0,51.62
"Duck, cooked, skin not eaten","Turkey, duck, other poultry",200,23.38,0.0,0.0,0.0,11.15,3.934,3.842,1.481,89,0.259,0.468,5.079,0.249,0,64.7,0.0,0.1,0.7,0.0,12,202,20,2.69,2.59,0.23,251,227,0,0,0.0,63.95
"Duck, roasted, skin eaten","Turkey, duck, other poultry",336,18.91,0.0,0.0,0.0,28.23,9.63,12.846,3.635,84,0.173,0.268,4.805,0.179,0,50.2,0.0,0.1,0.7,0.0,11,155,16,2.69,1.85,0.226,203,221,0,0,0.0,51.62
"Duck, roasted, skin not eaten","Turkey, duck, other poultry",200,23.38,0.0,0.0,0.0,11.15,3.934,3.842,1.481,89,0.259,0.468,5.079,0.249,0,64.7,0.0,0.1,0.7,0.0,12,202,20,2.69,2.59,0.23,251,227,0,0,0.0,63.95
"Duck, pressed, Chinese","Turkey, duck, other poultry",151,5.34,6.24,4.04,0.4,11.73,3.104,5.131,2.726,22,0.073,0.099,1.455,0.086,0,15.3,10.2,0.0,0.65,0.0,10,46,9,0.84,0.55,0.096,101,288,0,0,0.0,75.68
"Goose, wild, roasted","Turkey, duck, other poultry",304,25.06,0.0,0.0,0.0,21.83,6.841,10.207,2.509,91,0.077,0.322,4.151,0.368,0,66.2,0.0,0.1,1.73,0.0,13,269,22,2.82,2.61,0.263,328,232,0,0,0.0,51.73
"Cornish game hen, cooked, skin eaten","Turkey, duck, other poultry",257,22.08,0.0,0.0,0.0,18.06,5.008,7.933,3.57,130,0.066,0.197,5.848,0.304,0,56.0,0.5,0.1,0.36,0.0,13,145,18,0.9,1.48,0.06,243,386,0,0,0.0,58.2
"Cornish game hen, cooked, skin not eaten","Turkey, duck, other poultry",133,23.11,0.0,0.0,0.0,3.84,0.982,1.23,0.932,105,0.074,0.225,6.221,0.355,0,65.7,0.6,0.1,0.24,0.0,13,148,19,0.76,1.52,0.059,248,385,0,0,0.0,71.31
"Cornish game hen, roasted, skin eaten","Turkey, duck, other poultry",257,22.08,0.0,0.0,0.0,18.06,5.008,7.933,3.57,130,0.066,0.197,5.848,0.304,0,56.0,0.5,0.1,0.36,0.0,13,145,18,0.9,1.48,0.06,243,386,0,0,0.0,58.2
"Cornish game hen, roasted, skin not eaten","Turkey, duck, other poultry",133,23.11,0.0,0.0,0.0,3.84,0.982,1.23,0.932,105,0.074,0.225,6.221,0.355,0,65.7,0.6,0.1,0.24,0.0,13,148,19,0.76,1.52,0.059,248,385,0,0,0.0,71.31
"Dove, cooked, NS as to cooking method","Turkey, duck, other poultry",212,23.8,0.0,0.0,0.0,12.95,3.723,5.439,2.722,116,0.279,0.349,7.568,0.568,0,63.3,2.9,0.2,0.06,0.0,17,331,26,5.88,3.81,0.76,255,219,0,0,0.0,61.74
"Dove, fried","Turkey, duck, other poultry",223,23.06,1.44,0.12,0.0,13.82,3.927,5.788,3.006,114,0.278,0.347,7.305,0.544,2,63.3,2.8,0.2,0.15,0.0,20,321,25,5.71,3.67,0.727,250,198,0,0,0.0,60.23
"Quail, cooked","Turkey, duck, other poultry",226,25.0,0.0,0.0,0.0,14.04,3.938,4.871,3.472,86,0.219,0.299,7.887,0.617,0,65.6,2.3,0.2,0.7,0.0,15,278,22,4.41,3.09,0.59,215,214,0,0,0.0,59.75
"Pheasant, cooked","Turkey, duck, other poultry",238,32.26,0.0,0.0,0.0,12.05,3.892,5.603,1.18,89,0.07,0.179,7.499,0.747,0,85.4,2.3,0.2,0.27,0.0,16,241,22,1.42,1.36,0.084,270,205,0,0,0.0,53.98
"Chicken, baby food, NS as to strained or junior",Baby food: meat and dinners,138,13.85,0.05,0.0,0.0,8.75,2.25,3.945,2.125,60,0.014,0.158,3.338,0.194,0,43.2,1.6,0.2,0.32,0.0,60,94,12,1.2,1.11,0.045,132,49,0,0,0.0,76.75
"Chicken, baby food, strained",Baby food: meat and dinners,130,13.7,0.1,0.0,0.0,7.9,2.03,3.56,1.92,61,0.014,0.152,3.255,0.2,0,43.2,1.7,0.3,0.25,0.0,64,97,13,1.4,1.21,0.045,141,49,0,0,0.0,77.5
"Chicken, baby food, junior",Baby food: meat and dinners,146,14.0,0.0,0.0,0.0,9.6,2.47,4.33,2.33,59,0.014,0.163,3.42,0.188,0,43.2,1.5,0.0,0.4,0.0,55,90,11,0.99,1.01,0.045,122,49,0,0,0.0,76.0
"Turkey, baby food, NS as to strained or junior",Baby food: meat and dinners,111,11.5,1.4,0.0,0.0,6.2,1.641,2.384,1.741,58,0.008,0.163,2.61,0.029,0,39.8,1.1,0.8,0.08,0.0,41,117,12,0.7,1.77,0.148,135,49,0,0,0.0,80.32
"Turkey, baby food, strained",Baby food: meat and dinners,111,11.5,1.4,0.0,0.0,6.2,1.641,2.384,1.741,58,0.008,0.163,2.61,0.029,0,39.8,2.2,0.8,0.08,0.0,41,117,12,0.7,1.77,0.148,135,49,0,0,0.0,80.32
"Turkey, baby food, junior",Baby food: meat and dinners,111,11.5,1.4,0.0,0.0,6.2,1.641,2.384,1.741,58,0.008,0.163,2.61,0.029,0,39.8,0.0,0.8,0.08,0.0,41,117,12,0.7,1.77,0.148,135,49,0,0,0.0,80.32
"Chicken stick, baby food",Baby food: meat and dinners,188,14.6,1.5,1.4,0.2,14.4,4.094,6.267,2.986,78,0.017,0.197,2.005,0.103,0,43.2,1.7,0.1,0.37,0.0,73,121,14,1.56,1.01,0.045,106,267,0,0,0.0,68.3
"Turkey stick, baby food",Baby food: meat and dinners,188,13.7,1.4,1.4,0.2,14.2,4.143,4.671,3.615,65,0.008,0.181,1.94,0.023,0,53.3,1.5,0.4,0.12,0.0,83,120,10,0.92,2.4,0.148,120,295,0,0,0.0,69.8
"Beef liver, braised",Liver and organ meats,189,28.84,5.09,0.0,0.0,5.22,2.922,1.115,1.1,393,0.192,3.396,17.379,1.009,0,422.5,1.9,1.2,0.51,0.0,6,493,21,6.49,5.26,14.164,349,401,0,0,0.0,58.32
"Beef liver, fried",Liver and organ meats,174,26.3,5.12,0.0,0.0,4.64,2.509,1.097,1.012,378,0.176,3.396,17.329,1.018,0,414.7,0.7,1.2,0.46,0.0,6,481,22,6.12,5.19,14.466,348,399,0,0,0.0,61.5
"Chicken liver, braised",Liver and organ meats,166,24.26,0.86,0.0,0.0,6.46,2.043,1.404,1.971,558,0.289,1.976,10.953,0.749,0,287.6,27.7,0.0,0.81,0.0,11,402,25,11.53,3.95,0.492,261,398,0,0,0.0,66.26
