name,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
"Gravy, microwavable, turkey, CAMPBELL'S",1700.0,800.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,1670.0,833.0,0.0,0.0,0.0,0.0,2070.0,0.0,0.0,89600.0
"Formulated Bar, SOUTH BEACH protein bar",15000.0,3400.0,3.0,436.0,108.2,0.184,0.0,1.268,1.987,0.437,0.176,0.168,0.391,0.0,3.901,0.0,11.713,0,0.00061,0.226,27.9,0.0,4.61,4.61,0.3506,322.0,0.846,5.4,71.0,1.024,445.0,793.0,0.009,2.39,30340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38400.0,7300.0,15170.0,0.0,0.0,0.0,0.0,0.0,0.0,15170.0,3384.0,4290.0,5326.0,3.0,0.0,3930.0,2.0,29.0,12160.0
"MOTHER'S, English Tea Sandwich Cookies",19000.0,6500.0,0.0,267.0,0.0,0.083,0.0,2.9,0.0,0.22,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,10.0,0.0,43.0,94.0,0.0,0.5,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71000.0,1300.0,32000.0,0.0,0.0,0.0,0.0,0.0,0.0,19300.0,6500.0,6400.0,1400.0,0.0,0.0,0.0,0.0,0.0,2400.0
"Fast foods, biscuit with egg and steak",19000.0,5800.0,184.0,600.0,0.0,0.038,0.019,2.07,0.73,0.35,0.24,0.0119,0.139,0.0,0.0,0.0,0.0,0,0.00095,0.12,0.1,0.0,0.0,0.0,0.0,93.0,0.072,3.58,17.0,0.165,152.0,207.0,0.0212,1.89,12120.0,629.0,685.0,999.0,200.0,2148.0,503.0,339.0,0.0,589.0,965.0,799.0,311.0,560.0,705.0,633.0,505.0,155.0,433.0,662.0,14370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19210.0,5810.0,7910.0,3950.0,184.0,0.0,1780.0,0.0,0.0,52510.0
"Candies, prepared-from-recipe, fondant",0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.016,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.003,0.01,0.0,0.0,0.0,4.0,0.0006,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93180.0,0.0,88900.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,6740.0
"Mollusks, raw, farmed, eastern, oyster",1600.0,400.0,25.0,178.0,0.0,0.018,0.0,1.267,0.157,0.065,0.105,0.000625,0.008,0.0,0.0,0.0,0.0,0,0.0162,0.06,4.7,0.0,0.0,0.0,0.0,44.0,0.738,5.78,33.0,0.394,93.0,124.0,0.0637,37.92,5220.0,316.0,381.0,504.0,69.0,711.0,327.0,100.0,0.0,227.0,368.0,390.0,118.0,187.0,213.0,234.0,225.0,59.0,167.0,228.0,5530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,443.0,152.0,591.0,25.0,0.0,1500.0,0.0,0.0,86200.0
"KEEBLER, Rainbow, Vanilla Wafers Minis",18000.0,6000.0,1.0,400.0,0.0,0.087,0.0,2.5,0.0,0.23,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,83.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72300.0,1300.0,31100.0,0.0,0.0,0.0,0.0,0.0,0.0,18300.0,6000.0,4100.0,6800.0,1.0,0.0,0.0,0.0,0.0,4100.0
"Crackers, regular, standard snack-type",26000.0,5600.0,0.0,726.0,9.6,0.092,0.084,4.352,0.417,0.456,0.416,0.0,0.0,0.0,0.0,0.0,0.012,0,0.0,0.063,0.0,0.0,3.03,3.03,0.0693,120.0,0.104,4.03,18.0,0.491,248.0,118.0,0.0067,0.49,6640.0,225.0,252.0,306.0,172.0,2298.0,252.0,145.0,0.0,246.0,471.0,103.0,112.0,331.0,748.0,316.0,193.0,84.0,157.0,294.0,61300.0,2300.0,8180.0,290.0,0.0,470.0,0.0,480.0,6950.0,26430.0,5562.0,6553.0,13137.0,0.0,0.0,2490.0,0.0,0.0,3140.0
"Pork, microwaved, cooked, bacon, cured",34000.0,12000.0,111.0,1783.0,107.2,0.0,0.0,10.714,1.167,0.257,0.554,0.0,0.0,0.0,0.0,0.0,0.0,0,0.001,0.513,0.0,0.0,0.48,0.48,0.0,13.0,0.117,1.14,34.0,0.023,389.0,525.0,0.0650999999999999,3.51,39010.0,2235.0,2514.0,3649.0,440.0,5960.0,1763.0,1587.0,136.0,1847.0,3211.0,3470.0,1069.0,1621.0,1577.0,1629.0,1716.0,464.0,1546.0,1973.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34120.0,11644.0,15235.0,5602.0,111.0,0.0,6010.0,0.0,0.0,20380.0
"Sausage, smoked, pork and beef, Polish",27000.0,9200.0,71.0,848.0,0.0,0.004,0.0,3.227,0.44,0.17,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0,0.00151,0.17,0.0,0.0011,0.0,0.0,0.0,7.0,0.06,1.0,12.0,0.037,107.0,189.0,0.0131,2.11,12070.0,774.0,765.0,1136.0,105.0,1994.0,857.0,395.0,0.0,485.0,810.0,903.0,364.0,405.0,673.0,510.0,465.0,107.0,386.0,464.0,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26560.0,9207.0,12302.0,2826.0,71.0,0.0,2810.0,0.0,0.0,56580.0
