disease_name,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
Hypertension,11000,2200,80,500,108,0.1,0.1,4.5,1.5,0.35,0.35,0.2,0.9,0.2,0.2,0.2,0.2,4,2.4,0.241666667,25,0.0175,4.5,4.5,0.105,275,0.25,2,93.75,0.7,175,750,0.0175,2.25,17500,2,1250,1000,0.5,2250,1000,0.5,4,1000,0.5,1000,1000,0.5,2200,1000,600,1200,1000,500,60000,8000,7500,30000,400,10000,6000,9000,30000,12000,5500,11000,5000,350,0,200,100,0,750000
Diabetes(Type-1),17000,1750,50,700,108,0.1,0.1,4.5,1.5,0.35,0.35,0.2,0.9,0.2,0.2,0.2,0.2,4,2.4,0.241666667,25,0.0175,4.5,4.5,0.105,275,0.25,2,93.75,0.7,175,750,0.0175,2.25,12750,2,1250,1000,0.5,2250,1000,0.5,4,1000,0.5,1000,1000,0.5,2200,1000,600,1200,1000,500,30000,8000,7500,30000,400,10000,6000,9000,30000,12000,5500,11000,5000,350,0,200,100,0,750000
Skin Cancer,17000,3400,50,0,108,0.1,0.1,4.5,1.5,0.35,0.35,0.2,0.9,0.5,0.5,0.2,0.2,4,2.4,0.2416667,40,0.0175,4.5,4.5,0.105,300,1.7,2,93.75,0.7,175,500,0.0175,2.25,17500,1,1250,1000,0.5,2250,1000,0.5,4,1000,0.5,1000,1000,0.5,2200,1000,600,1200,1000,500,6000,10000,30000,30000,500,10000,2000,9000,30000,9000,5500,1100,5000,350,0,200,0,0,750000
general,17000,3400,80,700,108,0.1,0.1,4.5,1.5,0.35,0.35,0.2,0.9,0.2,0.2,0.2,0.2,4,2.4,0.241666667,25,0.0175,4.5,4.5,0.105,275,0.25,2,93.75,0.7,175,750,0.0175,2.25,12750,2,1250,1000,0.5,2250,1000,0.5,4,1000,0.5,1000,1000,0.5,2200,1000,600,1200,1000,500,60000,8000,7500,30000,400,10000,6000,9000,30000,12000,5500,11000,5000,350,0,200,100,0,750000
