Disease,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)",Cholesterol (mg),Niacin (mg),Folic acid (mcg),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"Water
(g)"
AcidReflux,73.20690943,3.522425148,11.40332213,7.225791005,1.856263617,2.004565826,0.596563617,9.419296608,0.996060146,0.541503268,17.93615624,11.35970588,0.799354031,33.21635543,53.7591192,22.33860878,234.5842826,117.8511671,0,0,0,82.17565702
Anemia,98.26608517,7.739458589,7.751911265,4.344181346,1.313329677,4.257350878,1.261857009,71.50935467,1.799385763,1.471384156,54.65512039,18.97546872,0.781871798,44.01010687,103.8286702,23.50505605,264.4020187,219.4572657,0.000862069,0.011206897,0,78.9259852
Cavities,76.67432448,2.26077831,14.7371904,8.022875783,1.759489441,1.43562684,0.46762789,3.221452523,0.821244055,4.627643802,10.48246204,10.09424003,0.569095609,39.06455014,38.90873644,18.57072576,170.3648537,94.04591248,0.053240741,0.831018519,0,80.82524694
FattyLiver,74.31501959,3.903371536,9.98050434,5.287494366,1.618887092,2.433657305,0.701999631,15.26355061,0.971809429,1.754767388,19.21799814,10.93649331,0.800623888,45.03512054,60.3852472,19.83338661,188.9914029,145.9019423,0.041221188,0.641695554,0,82.73043595
Gastritis,59.42814528,2.56270459,9.524778568,6.370533374,1.336102732,1.597405971,0.538056863,6.535296512,0.721662722,0.374886878,13.56235318,8.964696665,0.637359058,36.88197826,41.15517369,17.21732744,181.3133352,87.22459719,0.065527066,1.022792023,0,85.61081098
Obesity,104.183973,3.324689913,17.46009702,6.685967875,2.025385594,2.698500983,0.816348405,4.216382529,1.302790021,9.286194513,12.5128173,9.299091808,0.642403351,51.73278615,60.02884344,21.98134325,166.1886007,145.4752867,0.318489658,0.904405964,0,75.58741866
Pancreatitis,73.20690943,3.522425148,11.40332213,7.225791005,1.856263617,2.004565826,0.596563617,9.419296608,0.996060146,0.541503268,17.93615624,11.35970588,0.799354031,33.21635543,53.7591192,22.33860878,234.5842826,117.8511671,0,0,0,82.17565702
Type1Diabetes,67.13883384,4.194781892,8.564902446,4.901071588,1.734032186,2.215110652,0.587423692,16.0153198,1.008871255,0.651409287,22.51825483,14.17538532,0.807442887,43.9035924,66.38784023,23.92926193,257.5496472,150.829564,0,0,0,83.86386737
Urinary-tract,80.9702671,2.429241308,15.40404568,7.390095897,1.889523305,1.533240234,0.480776972,3.544487629,0.907250078,5.712820056,10.91173111,11.38539925,0.503835934,34.6882362,41.71203492,18.26007044,165.7397946,102.5192202,0.028395062,0.443209877,0,79.87320353
