Name,Category,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
"Beef brisket, cooked, lean and fat eaten","Beef, excludes ground",289,26570,0,0,0,19360,7467,92,3.342,0,101.2,0,0.19,7,214,21,257,387,0,0,0,51110
"Beef brisket, cooked, lean only eaten","Beef, excludes ground",216,29500,0,0,0,10000,3600,92,3.679,0,112.4,0,0.14,6,239,23,283,392,0,0,0,57230
"Beef, sandwich steak, flaked, formed, thinly sliced","Beef, excludes ground",329,18410,0,0,0,27810,11690,73,2.936,0,74.1,0,0.32,8,138,16,234,52,0,0,0,53170
"Ground beef, cooked",Ground beef,260,25540,0,0,0,16820,6453,87,5.07,0,80.2,0,0.12,24,192,20,302,396,0,0,0,56320
"Ground beef patty, cooked",Ground beef,272,25450,0,0,0,18180,6950,87,4.919,0,79.4,0,0.12,27,190,20,294,383,0,0,0,55200
"Beef, bacon, cooked",Bacon,449,31300,1400,0,0,34400,14350,119,6.47,0,119.2,0,0.29,9,236,27,412,1500,0,0,0,26200
"Beef, bacon, reduced sodium, cooked",Bacon,541,37040,1430,0,0,41780,13739,110,11.099,0,123.2,0,0.31,11,533,33,565,1030,0,0,0,12320
"Beef, dried, chipped, uncooked",Cold cuts and cured meats,153,31100,2760,2700,0,1940,950,79,5.164,0,0,0,0.38,8,181,19,235,2790,0,0,0,53800
"Beef, dried, chipped, cooked in fat",Cold cuts and cured meats,225,28120,2500,2440,0,11320,4610,81,4.67,0,4.8,0,0.4,7,164,17,213,2523,0,0,0,48650
Beef jerky,Cold cuts and cured meats,410,33200,11000,9000,1800,25600,10850,48,1.732,0,109.1,0,0.49,20,407,51,597,1785,0,0,0,23360
"Pork, NS as to cut, cooked, NS as to fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork, NS as to cut, cooked, lean and fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork, NS as to cut, cooked, lean only eaten",Pork,164,29130,90,0,0,4550,1537,81,8.607,0,77.5,0,0.21,6,289,32,486,524,0,0,0,63430
"Pork, NS as to cut, fried, NS as to fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork, NS as to cut, fried, lean and fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork, NS as to cut, fried, lean only eaten",Pork,164,29130,90,0,0,4550,1537,81,8.607,0,77.5,0,0.21,6,289,32,486,524,0,0,0,63430
"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten",Pork,271,25000,16260,1430,1000,11210,2480,96,7.462,0.012,84.1,0,0.96,51,263,34,404,551,0,0,0,44790
"Pork, NS as to cut, breaded or floured, fried, lean and fat eaten",Pork,305,23970,16200,1430,1000,15440,3715,98,7.172,0.012,82,0,0.95,53,253,33,384,544,0,0,0,41730
"Pork, NS as to cut, breaded or floured, fried, lean only eaten",Pork,271,25000,16260,1430,1000,11210,2480,96,7.462,0.012,84.1,0,0.96,51,263,34,404,551,0,0,0,44790
"Pork, pickled, NS as to cut",Pork,140,11630,10,0,0,10020,2945,83,0.22,0,44.5,0,0.21,32,87,11,13,946,0,0,0,75000
"Pork, ground or patty, cooked",Pork,295,25480,0,0,0,20600,7656,93,4.171,0,87.6,0.7,0.21,22,224,24,359,395,0,0,0,52310
"Pork, ground or patty, breaded, cooked",Pork,333,20300,10530,1240,600,22720,6628,67,3.827,0.008,65.4,0.5,1.01,51,191,24,296,388,0,0,0,44830
Pork jerky,Cold cuts and cured meats,410,33200,11000,9000,1800,25600,10850,48,1.732,0,109.1,0,0.49,20,407,51,597,1785,0,0,0,23360
"Pork chop, NS as to cooking method, NS as to fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork chop, NS as to cooking method, lean and fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork chop, NS as to cooking method, lean only eaten",Pork,164,29130,90,0,0,4550,1537,81,8.607,0,77.5,0,0.21,6,289,32,486,524,0,0,0,63430
"Pork chop, broiled or baked, NS as to fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork chop, broiled or baked, lean and fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork chop, broiled or baked, lean only eaten",Pork,164,29130,90,0,0,4550,1537,81,8.607,0,77.5,0,0.21,6,289,32,486,524,0,0,0,63430
"Pork chop, breaded or floured, broiled or baked, NS as to fat eaten",Pork,240,26780,8820,760,600,10190,3121,77,8.259,0.01,69.5,0,0.19,30,271,33,441,556,0,0,0,51420
"Pork chop, breaded or floured, broiled or baked, lean and fat eaten",Pork,240,26780,8820,760,600,10190,3121,77,8.259,0.01,69.5,0,0.19,30,271,33,441,556,0,0,0,51420
"Pork chop, breaded or floured, broiled or baked, lean only eaten",Pork,197,28090,8900,760,600,4780,1543,74,8.629,0.01,72.2,0,0.2,28,283,35,465,566,0,0,0,55330
"Pork chop, fried, NS as to fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork chop, fried, lean and fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,8,276,31,459,514,0,0,0,59130
"Pork chop, fried, lean only eaten",Pork,164,29130,90,0,0,4550,1537,81,8.607,0,77.5,0,0.21,6,289,32,486,524,0,0,0,63430
"Pork chop, breaded or floured, fried, NS as to fat eaten",Pork,305,23970,16200,1430,1000,15440,3715,98,7.172,0.012,82,0,0.95,53,253,33,384,544,0,0,0,41730
"Pork chop, breaded or floured, fried, lean and fat eaten",Pork,305,23970,16200,1430,1000,15440,3715,98,7.172,0.012,82,0,0.95,53,253,33,384,544,0,0,0,41730
"Pork chop, breaded or floured, fried, lean only eaten",Pork,271,25000,16260,1430,1000,11210,2480,96,7.462,0.012,84.1,0,0.96,51,263,34,404,551,0,0,0,44790
"Pork chop, battered, fried, NS as to fat eaten",Pork,281,22600,12770,1520,400,14990,4234,70,6.864,0.015,62.7,0,0.6,39,240,27,374,419,0,0,0,47300
"Pork chop, battered, fried, lean and fat eaten",Pork,281,22600,12770,1520,400,14990,4234,70,6.864,0.015,62.7,0,0.6,39,240,27,374,419,0,0,0,47300
"Pork chop, battered, fried, lean only eaten",Pork,246,23670,12830,1520,400,10580,2947,68,7.165,0.015,64.9,0,0.61,37,250,29,394,427,0,0,0,50480
"Pork chop, stewed, NS as to fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,9,199,21,405,485,0,0,0,59130
"Pork chop, stewed, lean and fat eaten",Pork,211,27690,0,0,0,10500,3274,84,8.2,0,74.6,0,0.2,9,199,21,405,485,0,0,0,59130
"Pork chop, stewed, lean only eaten",Pork,164,29130,90,0,0,4550,1537,81,8.607,0,77.5,0,0.21,6,209,22,429,493,0,0,0,63430
"Pork chop, smoked or cured, cooked, NS as to fat eaten",Cold cuts and cured meats,280,20430,0,0,0,21350,7670,58,4.127,0,79.8,0,0.24,10,221,14,258,1072,0,0,0,54730
"Pork chop, smoked or cured, cooked, lean and fat eaten",Cold cuts and cured meats,280,20430,0,0,0,21350,7670,58,4.127,0,79.8,0,0.24,10,221,14,258,1072,0,0,0,54730
"Pork chop, smoked or cured, cooked, lean only eaten",Cold cuts and cured meats,170,24940,0,0,0,7040,2360,48,4.798,0,101.4,0,0.26,11,243,16,292,1231,0,0,0,63860
"Pork steak or cutlet, NS as to cooking method, NS as to fat eaten",Pork,239,22960,60,0,0,15860,5581,82,4.337,0,96.4,0,0.29,16,234,24,382,490,0,0,0,58690
"Pork steak or cutlet, NS as to cooking method, lean and fat eaten",Pork,239,22960,60,0,0,15860,5581,82,4.337,0,96.4,0,0.29,16,234,24,382,490,0,0,0,58690
"Pork steak or cutlet, NS as to cooking method, lean only eaten",Pork,171,24610,70,0,0,7420,2595,79,4.47,0,103.5,0,0.31,14,248,27,408,497,0,0,0,65230
"Pork steak or cutlet, battered, fried, NS as to fat eaten",Pork,271,19870,7610,1320,200,17540,5694,74,3.918,0.008,84.8,0,0.54,41,216,23,335,423,0,0,0,52760
"Pork steak or cutlet, battered, fried, lean and fat eaten",Pork,271,19870,7610,1320,200,17540,5694,74,3.918,0.008,84.8,0,0.54,41,216,23,335,423,0,0,0,52760
"Pork steak or cutlet, battered, fried, lean only eaten",Pork,216,21190,7620,1320,200,10780,3303,72,4.024,0.008,90.5,0,0.56,40,227,25,356,429,0,0,0,57990
"Pork steak or cutlet, broiled or baked, NS as to fat eaten",Pork,239,22960,60,0,0,15860,5581,82,4.337,0,96.4,0,0.29,16,234,24,382,490,0,0,0,58690
"Pork steak or cutlet, broiled or baked, lean and fat eaten",Pork,239,22960,60,0,0,15860,5581,82,4.337,0,96.4,0,0.29,16,234,24,382,490,0,0,0,58690
"Pork steak or cutlet, broiled or baked, lean only eaten",Pork,171,24610,70,0,0,7420,2595,79,4.47,0,103.5,0,0.31,14,248,27,408,497,0,0,0,65230
"Pork steak or cutlet, fried, NS as to fat eaten",Pork,239,22960,60,0,0,15860,5581,82,4.337,0,96.4,0,0.29,16,234,24,382,490,0,0,0,58690
"Pork steak or cutlet, fried, lean and fat eaten",Pork,239,22960,60,0,0,15860,5581,82,4.337,0,96.4,0,0.29,16,234,24,382,490,0,0,0,58690
"Pork steak or cutlet, fried, lean only eaten",Pork,171,24610,70,0,0,7420,2595,79,4.47,0,103.5,0,0.31,14,248,27,408,497,0,0,0,65230
"Pork steak or cutlet, breaded or floured, broiled or baked, NS as to fat eaten",Pork,264,22300,9150,400,400,14790,5151,75,4.63,0.01,89,0,0.27,27,229,26,366,490,0,0,0,51360
"Pork steak or cutlet, breaded or floured, broiled or baked, lean and fat eaten",Pork,264,22300,9150,400,400,14790,5151,75,4.63,0.01,89,0,0.27,27,229,26,366,490,0,0,0,51360
"Pork steak or cutlet, breaded or floured, broiled or baked, lean only eaten",Pork,202,23800,9150,400,400,7120,2439,72,4.751,0.01,95.5,0,0.29,25,242,28,389,497,0,0,0,57300
"Pork steak or cutlet, breaded or floured, fried, NS as to fat eaten",Pork,306,21070,16600,1460,1000,16720,5068,99,4.525,0.012,99.7,0,0.69,60,229,29,337,539,0,0,0,43090
"Pork steak or cutlet, breaded or floured, fried, lean and fat eaten",Pork,325,20610,16240,1430,1000,19260,5354,97,4.427,0.012,97.5,0,1.01,58,224,28,330,527,0,0,0,41430
"Pork steak or cutlet, breaded or floured, fried, lean only eaten",Pork,276,21780,16240,1430,1000,13250,3232,95,4.521,0.012,102.6,0,1.03,57,234,30,348,532,0,0,0,46070
"Pork, tenderloin, cooked, NS as to cooking method",Pork,154,26900,0,0,0,4330,1444,72,6.839,0,103.7,0,0.28,6,323,31,536,593,0,0,0,66870
"Pork, tenderloin, breaded, fried",Pork,296,21950,15180,1340,900,15810,3008,84,5.818,0.011,96.3,0,1.58,48,269,31,412,563,0,0,0,45090
"Pork, tenderloin, braised",Pork,142,27240,0,0,0,2800,900,71,6.913,0,105.1,0,0.28,5,237,21,480,549,0,0,0,68040
"Pork, tenderloin, baked",Pork,154,26900,0,0,0,4330,1444,72,6.839,0,103.7,0,0.28,6,323,31,536,593,0,0,0,66870
"Pork, tenderloin, battered, fried",Pork,193,23290,7560,1320,200,7080,1946,65,5.981,0.008,91.8,0,0.53,32,291,28,464,508,0,0,0,60240
"Ham, fried, NS as to fat eaten",Cold cuts and cured meats,188,19130,1270,1090,0,11530,2825,52,5.281,0,76.2,0,0.86,7,243,18,318,1128,0,0,0,64680
"Ham, fried, lean and fat eaten",Cold cuts and cured meats,188,19130,1270,1090,0,11530,2825,52,5.281,0,76.2,0,0.86,7,243,18,318,1128,0,0,0,64680
"Ham, fried, lean only eaten",Cold cuts and cured meats,178,20520,1000,990,0,9900,2283,50,4.928,0,84.1,0,0.84,7,234,19,297,1219,0,0,0,65070
"Ham, breaded or floured, fried, NS as to fat eaten",Cold cuts and cured meats,200,18340,7340,1350,300,10530,2642,62,5.102,0.006,79,0,0.77,20,234,20,299,1036,0,0,0,60620
"Ham, breaded or floured, fried, lean and fat eaten",Cold cuts and cured meats,200,18340,7340,1350,300,10530,2642,62,5.102,0.006,79,0,0.77,20,234,20,299,1036,0,0,0,60620
"Ham, breaded or floured, fried, lean only eaten",Cold cuts and cured meats,192,19630,6780,1390,400,9220,2197,61,4.806,0.004,86.2,0,0.76,24,227,21,282,1134,0,0,0,61010
"Ham, fresh, cooked, NS as to fat eaten",Pork,271,26610,0,0,0,17460,6416,93,4.536,0,91.4,0.3,0.22,14,261,22,349,382,0,0,0,54580
"Ham, fresh, cooked, lean and fat eaten",Pork,271,26610,0,0,0,17460,6416,93,4.536,0,91.4,0.3,0.22,14,261,22,349,382,0,0,0,54580
"Ham, fresh, cooked, lean only eaten",Pork,209,29160,0,0,0,9360,3273,93,4.894,0,100.3,0.4,0.26,7,279,25,370,386,0,0,0,60160
"Ham, smoked or cured, cooked, NS as to fat eaten",Cold cuts and cured meats,149,20090,1190,1040,0,6700,2283,55,5.581,0,80.3,0,0.27,8,267,20,351,1348,0,0,0,68150
"Ham, smoked or cured, cooked, lean and fat eaten",Cold cuts and cured meats,149,20090,1190,1040,0,6700,2283,55,5.581,0,80.3,0,0.27,8,267,20,351,1348,0,0,0,68150
"Ham, smoked or cured, cooked, lean only eaten",Cold cuts and cured meats,139,21640,1050,1050,0,4950,1658,53,5.198,0,88.7,0,0.25,7,247,20,313,1286,0,0,0,68640
"Ham, prosciutto",Cold cuts and cured meats,195,27800,300,0,0,8320,2780,70,3.881,0,105.5,0,0.28,10,318,25,510,2695,0,0,0,55930
"Ham, smoked or cured, canned, NS as to fat eaten",Cold cuts and cured meats,132,17460,1000,1000,0,6170,2005,43,4.939,0,69.3,0,0.2,7,233,17,322,1231,0,0,0,71890
"Ham, smoked or cured, canned, lean and fat eaten",Cold cuts and cured meats,132,17460,1000,1000,0,6170,2005,43,4.939,0,69.3,0,0.2,7,233,17,322,1231,0,0,0,71890
"Ham, smoked or cured, canned, lean only eaten",Cold cuts and cured meats,117,17800,1000,1000,0,4310,1402,43,5.349,0,70.4,0,0.18,7,243,18,340,1223,0,0,0,73410
"Ham, smoked or cured, ground patty",Cold cuts and cured meats,325,18530,1420,1090,0,27250,8826,86,6.119,0,62.3,0,0.9,9,149,16,342,814,0,0,0,49890
"Pork roast, NS as to cut, cooked, NS as to fat eaten",Pork,246,26860,0,0,0,14530,5325,81,5.526,0,92.3,0.6,0.19,19,240,26,405,381,0,0,0,57030
"Pork roast, NS as to cut, cooked, lean and fat eaten",Pork,246,26860,0,0,0,14530,5325,81,5.526,0,92.3,0.6,0.19,19,240,26,405,381,0,0,0,57030
"Pork roast, NS as to cut, cooked, lean only eaten",Pork,207,28380,0,0,0,9550,3481,80,5.844,0,97.6,0.6,0.2,18,247,28,421,380,0,0,0,60520
"Pork roast, loin, cooked, NS as to fat eaten",Pork,246,26860,0,0,0,14530,5325,81,5.526,0,92.3,0.6,0.19,19,240,26,405,381,0,0,0,57030
"Pork roast, loin, cooked, lean and fat eaten",Pork,246,26860,0,0,0,14530,5325,81,5.526,0,92.3,0.6,0.19,19,240,26,405,381,0,0,0,57030
"Pork roast, loin, cooked, lean only eaten",Pork,207,28380,0,0,0,9550,3481,80,5.844,0,97.6,0.6,0.2,18,247,28,421,380,0,0,0,60520
"Fried pork chunks, Puerto Rican style",Pork,257,35330,860,30,100,11350,4004,109,10.45,0,94.9,0.5,0.23,15,336,41,529,489,0,0,0,49500
"Pork roast, shoulder, cooked, NS as to fat eaten",Pork,290,23090,0,0,0,21210,7795,89,3.958,0,79.3,0.5,0.19,24,210,18,326,390,0,0,0,54350
"Pork roast, shoulder, cooked, lean and fat eaten",Pork,290,23090,0,0,0,21210,7795,89,3.958,0,79.3,0.5,0.19,24,210,18,326,390,0,0,0,54350
"Pork roast, shoulder, cooked, lean only eaten",Pork,228,25120,0,0,0,13430,4750,89,4.225,0,86.3,0.6,0.25,18,219,20,343,397,0,0,0,60140
"Pork roast, smoked or cured, cooked, NS as to fat eaten",Cold cuts and cured meats,165,21970,500,0,0,7660,2610,57,5.324,0,85.9,0,0.28,8,248,19,362,1385,0,0,0,65750
"Pork roast, smoked or cured, cooked, lean and fat eaten",Cold cuts and cured meats,165,21970,500,0,0,7660,2610,57,5.324,0,85.9,0,0.28,8,248,19,362,1385,0,0,0,65750
"Pork roast, smoked or cured, cooked, lean only eaten",Cold cuts and cured meats,157,25050,0,0,0,5500,1840,55,5.02,0,101.9,0,0.26,7,227,22,316,1327,0,0,0,65780
"Pork roll, cured, fried",Cold cuts and cured meats,329,13070,4490,0,0,28390,10353,69,3.444,0,66.8,0,0.56,0,147,14,399,1377,0,0,0,50440
"Canadian bacon, cooked",Cold cuts and cured meats,146,28310,1800,1200,0,2780,1039,67,9.988,0,104.8,0,0.41,7,309,27,999,993,0,0,0,62500
"Bacon, NS as to type of meat, cooked",Bacon,468,33920,1700,0,0,35090,11964,99,10.457,0,89.5,0,0.42,11,388,31,499,1684,0,0,0,23650
"Bacon, NS as to type of meat, reduced sodium, cooked",Bacon,253,13330,4800,0,0,20000,6667,100,6.222,0,56.9,24,2.7,10,145,19,156,900,0,0,0,58930
"Pork bacon, NS as to fresh, smoked or cured, cooked",Bacon,468,33920,1700,0,0,35090,11964,99,10.457,0,89.5,0,0.42,11,388,31,499,1684,0,0,0,23650
"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",Bacon,541,37040,1430,0,0,41780,13739,110,11.099,0,123.2,0,0.31,11,533,33,565,1030,0,0,0,12320
"Pork bacon, smoked or cured, cooked",Bacon,468,33920,1700,0,0,35090,11964,99,10.457,0,89.5,0,0.42,11,388,31,499,1684,0,0,0,23650
"Bacon or side pork, fresh, cooked",Bacon,468,33920,1700,0,0,35090,11964,99,10.457,0,89.5,0,0.42,11,388,31,499,1684,0,0,0,23650
"Pork bacon, smoked or cured, reduced sodium, cooked",Bacon,541,37040,1430,0,0,41780,13739,110,11.099,0,123.2,0,0.31,11,533,33,565,1030,0,0,0,12320
"Salt pork, cooked",Bacon,750,2680,0,0,0,81930,31339,84,1.183,0,40.7,0,0.34,11,41,3,47,2039,0,0,0,9980
"Fat back, cooked",Butter and animal fats,750,2680,0,0,0,81930,31339,84,1.183,0,40.7,0,0.34,11,41,3,47,2039,0,0,0,9980
"Pork, spareribs, cooked, NS as to fat eaten",Pork,394,28820,0,0,0,30050,11027,120,5.429,0,99.1,0,0.34,47,259,24,317,415,0,0,0,40090
"Pork, spareribs, cooked, lean and fat eaten",Pork,394,28820,0,0,0,30050,11027,120,5.429,0,99.1,0,0.34,47,259,24,317,415,0,0,0,40090
"Pork, spareribs, cooked, lean only eaten",Pork,206,28790,0,0,0,9240,2369,78,7.814,0,99,0,0.22,51,227,20,275,394,0,0,0,61050
"Pork, spareribs, barbecued, with sauce, NS as to fat eaten",Pork,343,21450,12740,10390,300,22290,8122,88,4.179,0,75,0.2,0.5,45,197,22,306,389,0,0,0,42400
"Pork, spareribs, barbecued, with sauce, lean and fat eaten",Pork,343,21450,12740,10390,300,22290,8122,88,4.179,0,75,0.2,0.5,45,197,22,306,389,0,0,0,42400
"Pork, spareribs, barbecued, with sauce, lean only eaten",Pork,224,19630,12740,10390,300,9820,3677,73,3.056,0,81.4,0.2,0.33,29,164,22,304,365,0,0,0,55220
"Pork, cracklings, cooked",Pork,468,33920,1700,0,0,35090,11964,99,10.457,0,89.5,0,0.42,11,388,31,499,1684,0,0,0,23650
"Pork ears, tail, head, snout, miscellaneous parts, cooked",Pork,236,26140,0,0,0,13770,4852,87,5.997,0,79.4,0.1,0.13,20,219,24,338,379,0,0,0,58050
"Pork, neck bones, cooked",Pork,182,25850,0,0,0,7960,2605,68,5.168,0,106.2,0,0.28,14,248,20,337,666,0,0,0,63720
"Pork, pig's feet, cooked",Pork,236,21760,0,0,0,15920,4307,106,0.58,0,74.8,0,0.09,0,81,5,33,395,0,0,0,62330
"Pork, pig's feet, pickled",Pork,140,11630,10,0,0,10020,2945,83,0.22,0,44.5,0,0.21,32,87,11,13,946,0,0,0,75000
"Pork, pig's hocks, cooked",Pork,233,24670,0,0,0,14210,4814,85,5.264,0,102.5,0,0.26,16,238,22,354,418,0,0,0,59530
Pork skin rinds,Pork,544,61300,0,0,0,31300,11370,95,1.549,0,164.5,0.5,0.53,30,85,11,127,1818,0,0,0,1800
"Pork skin, boiled",Pork,621,7000,0,0,0,65550,23657,78,3.094,0,32.6,0,0,22,108,9,124,378,0,0,0,26040
"Lamb, NS as to cut, cooked","Lamb, goat, game",292,24320,0,0,0,20770,8756,96,6.605,0,92.9,0,0.14,17,186,23,307,394,0,0,0,53280
"Lamb chop, NS as to cut, cooked, NS as to fat eaten","Lamb, goat, game",313,24960,0,0,0,22890,9748,99,7.041,0,93,0,0.13,20,194,24,324,399,0,0,0,51140
"Lamb chop, NS as to cut, cooked, lean and fat eaten","Lamb, goat, game",313,24960,0,0,0,22890,9748,99,7.041,0,93,0,0.13,20,194,24,324,399,0,0,0,51140
"Lamb chop, NS as to cut, cooked, lean only eaten","Lamb, goat, game",214,29740,0,0,0,9650,3451,94,6.793,0,107.4,0,0.16,19,224,28,373,406,0,0,0,60480
"Lamb, loin chop, cooked, NS as to fat eaten","Lamb, goat, game",313,24960,0,0,0,22890,9748,99,7.041,0,93,0,0.13,20,194,24,324,399,0,0,0,51140
"Lamb, loin chop, cooked, lean and fat eaten","Lamb, goat, game",313,24960,0,0,0,22890,9748,99,7.041,0,93,0,0.13,20,194,24,324,399,0,0,0,51140
"Lamb, loin chop, cooked, lean only eaten","Lamb, goat, game",214,29740,0,0,0,9650,3451,94,6.793,0,107.4,0,0.16,19,224,28,373,406,0,0,0,60480
"Lamb, shoulder chop, cooked, NS as to fat eaten","Lamb, goat, game",274,22320,0,0,0,19800,8370,91,6.099,0,87.2,0,0.14,20,182,23,249,388,0,0,0,55800
"Lamb, shoulder chop, cooked, lean and fat eaten","Lamb, goat, game",274,22320,0,0,0,19800,8370,91,6.099,0,87.2,0,0.14,20,182,23,249,388,0,0,0,55800
"Lamb, shoulder chop, cooked, lean only eaten","Lamb, goat, game",202,24730,0,0,0,10680,4046,86,5.712,0,95,0,0.18,19,198,25,263,390,0,0,0,62800
"Lamb, ribs, cooked, lean only eaten","Lamb, goat, game",233,27510,0,0,0,12840,4611,90,6.495,0,103.5,0,0.18,16,211,29,310,407,0,0,0,58340
"Lamb, ribs, cooked, NS as to fat eaten","Lamb, goat, game",358,21950,0,0,0,29340,12594,98,6.942,0,85.7,0,0.12,19,177,23,268,398,0,0,0,46670
"Lamb, ribs, cooked, lean and fat eaten","Lamb, goat, game",358,21950,0,0,0,29340,12594,98,6.942,0,85.7,0,0.12,19,177,23,268,398,0,0,0,46670
"Lamb hocks, cooked","Lamb, goat, game",241,28130,0,0,0,13350,5583,105,5.415,0,109.1,0,0.18,20,165,22,255,394,0,0,0,56330
"Lamb, roast, cooked, NS as to fat eaten","Lamb, goat, game",265,23830,0,0,0,18070,7601,92,6.317,0,91.3,0,0.14,16,186,23,280,388,0,0,0,56400
"Lamb, roast, cooked, lean and fat eaten","Lamb, goat, game",265,23830,0,0,0,18070,7601,92,6.317,0,91.3,0,0.14,16,186,23,280,388,0,0,0,56400
"Lamb, roast, cooked, lean only eaten","Lamb, goat, game",196,26400,0,0,0,9180,3392,87,6,0,99.5,0,0.18,14,201,25,299,390,0,0,0,63080
"Lamb, ground or patty, cooked","Lamb, goat, game",281,24540,0,0,0,19490,8052,96,6.644,0,92.6,0,0.14,22,199,24,336,403,0,0,0,54640
"Goat, boiled","Lamb, goat, game",142,26870,0,0,0,3000,922,74,3.917,0,105.5,0,0.34,17,199,0,402,408,0,0,0,67640
"Goat, fried","Lamb, goat, game",153,26460,0,0,0,4520,1152,73,3.856,0,103.9,0,0.46,17,196,0,395,401,0,0,0,66590
"Goat, baked","Lamb, goat, game",142,26870,0,0,0,3000,922,74,3.917,0,105.5,0,0.34,17,199,0,402,408,0,0,0,67640
"Goat head, cooked","Lamb, goat, game",144,21820,480,0,0,5460,1401,1064,3.809,0,231.3,3.4,0.77,15,243,4,349,415,0,0,0,69820
"Goat ribs, cooked","Lamb, goat, game",142,26870,0,0,0,3000,922,74,3.917,0,105.5,0,0.34,17,199,0,402,408,0,0,0,67640
"Veal, NS as to cut, cooked, NS as to fat eaten","Beef, excludes ground",229,29850,0,0,0,11300,4244,113,7.904,0,115.6,0,0.4,22,237,26,322,409,0,0,0,56610
"Veal, NS as to cut, cooked, lean and fat eaten","Beef, excludes ground",229,29850,0,0,0,11300,4244,113,7.904,0,115.6,0,0.4,22,237,26,322,409,0,0,0,56610
"Veal, NS as to cut, cooked, lean only eaten","Beef, excludes ground",194,31630,0,0,0,6520,1825,117,8.35,0,122,0,0.42,24,248,28,335,411,0,0,0,59660
"Veal chop, NS as to cooking method, NS as to fat eaten","Beef, excludes ground",215,24590,0,0,0,12220,5216,102,8.786,0,98.9,0,0.44,19,210,25,322,415,0,0,0,60230
"Veal chop, NS as to cooking method, lean and fat eaten","Beef, excludes ground",215,24590,0,0,0,12220,5216,102,8.786,0,98.9,0,0.44,19,210,25,322,415,0,0,0,60230
"Veal chop, NS as to cooking method, lean only eaten","Beef, excludes ground",174,26100,0,0,0,6880,2559,105,9.381,0,104.4,0,0.49,21,220,26,337,418,0,0,0,64060
"Veal chop, fried, NS as to fat eaten","Beef, excludes ground",238,27290,9910,570,300,9180,3060,112,10.34,0.008,113.2,0,0.53,39,250,31,371,454,0,0,0,51310
"Veal chop, fried, lean and fat eaten","Beef, excludes ground",238,27290,9910,570,300,9180,3060,112,10.34,0.008,113.2,0,0.53,39,250,31,371,454,0,0,0,51310
"Veal chop, fried, lean only eaten","Beef, excludes ground",216,28410,9840,570,200,6270,1600,113,10.8,0.008,117.9,0,0.53,39,258,32,383,455,0,0,0,53140
"Veal chop, broiled, NS as to fat eaten","Beef, excludes ground",215,24590,0,0,0,12220,5216,102,8.786,0,98.9,0,0.44,19,210,25,322,415,0,0,0,60230
"Veal chop, broiled, lean and fat eaten","Beef, excludes ground",215,24590,0,0,0,12220,5216,102,8.786,0,98.9,0,0.44,19,210,25,322,415,0,0,0,60230
"Veal chop, broiled, lean only eaten","Beef, excludes ground",174,26100,0,0,0,6880,2559,105,9.381,0,104.4,0,0.49,21,220,26,337,418,0,0,0,64060
"Veal cutlet or steak, NS as to cooking method, NS as to fat eaten","Beef, excludes ground",209,33670,0,0,0,7280,2821,119,11.211,0,131.1,0,0.45,7,262,30,401,393,0,0,0,56440
"Veal cutlet or steak, NS as to cooking method, lean and fat eaten","Beef, excludes ground",209,35860,0,0,0,6280,2509,133,10.472,0,140,0,0.49,8,247,29,380,389,0,0,0,55030
"Veal cutlet or steak, NS as to cooking method, lean only eaten","Beef, excludes ground",181,32890,0,0,0,4580,1279,106,12.535,0,127.3,0,0.42,7,288,32,438,399,0,0,0,60180
