Name,Category,Energy (kcal),Protein (mg),Carbohydrate (mg),"Sugars, total(mg)","Fiber, total dietary (mg)",Total Fat (mg),"Fatty acids, total saturated (mg)",Cholesterol (mg),Niacin (mg),Folic acid ((mg)),"Choline, total (mg)",Vitamin C (mg),Vitamin E (alpha-tocopherol) (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (mg),Water(mg)
"Soy milk, nonfat, chocolate",Milk substitutes,47,2100,8240,7130,700,640,32,0,0.512,0,28.4,0,0.13,123,87,15,144,46,2,19,0,88380
"Almond milk, sweetened",Milk substitutes,30,380,5240,4770,200,930,77,0,0.067,0,3,0,2.7,177,9,6,64,69,0,0,0,92680
"Almond milk, sweetened, chocolate",Milk substitutes,41,430,8340,7720,300,950,98,0,0.071,0,2.9,0,2.61,171,11,7,67,67,1,6,0,89520
"Almond milk, unsweetened",Milk substitutes,15,400,1310,810,200,960,80,0,0.07,0,3.1,0,2.81,184,9,6,67,72,0,0,0,96540
"Almond milk, unsweetened, chocolate",Milk substitutes,16,460,1480,810,300,1000,104,0,0.076,0,3.1,0,2.8,184,11,7,71,72,1,6,0,96260
Rice milk,Milk substitutes,47,280,9170,5280,300,970,0,0,0.39,0,2.1,0,0.47,118,56,11,27,39,0,0,0,89280
Coconut milk,Milk substitutes,31,210,2920,2500,0,2080,2083,0,0,0,0,0,0,188,0,0,19,19,0,0,0,94570
"Yogurt, NFS","Yogurt, regular",63,5250,7040,7040,0,1550,1000,6,0.114,0,15.2,0.8,0.03,183,144,17,234,70,0,0,0,85060
"Yogurt, Greek, NS as to type of milk or flavor","Yogurt, Greek",73,9950,3940,3560,0,1920,1230,10,0.197,0,15.2,0.8,0.04,115,137,11,141,34,0,0,0,83560
"Yogurt, NS as to type of milk or flavor","Yogurt, regular",63,5250,7040,7040,0,1550,1000,6,0.114,0,15.2,0.8,0.03,183,144,17,234,70,0,0,0,85060
